Year,State,Month,Region,Site,Lat,Long,Prevalence,MonitoringLocation,Mean Intensity
2004,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,100,ET5.2,4.2
2001,MD,October,MILES RIVER,LONG POINT (S),38.767233,-76.17735,100,EE1.1,4.2
2001,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,100,EE1.1,4.2
2015,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,100,EE1.1,4.2
2009,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,100,LE1.1,4.2
1995,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,100,EE3.3,4.2
1990,MD,October,ST. MARY'S RIVER,CHICKEN COCK,38.102767,-76.4353,100,ET8.1,4.2
1991,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,100,EE3.1,4.2
1995,MD,October,TANGIER SOUND,OLD WOMAN'S LEG,37.95625,-75.962667,100,EE3.2,4.2
2012,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,100,EE3.0,4.2
2007,MD,October,GREAT WICOMICO RIVER,LANCASTER,38.276033,-76.824283,97,RET3.1,4.2
2016,MD,October,WYE RIVER,BRUFFS ISLAND,38.860283,-76.194117,100,EE1.1,4.2
2000,VA,October,RAPPAHANNOCK RIVER,PARROT ROCK,37.605833,-76.588883,100,LE3.2,4.130434783
2002,VA,October,RAPPAHANNOCK RIVER,BROAD CREEK,37.57695,-76.300833,100,LE3.7,4.12
2000,MD,October,EASTERN BAY,HOLLICUT NOOSE,38.1186,-76.075933,100,EE3.1,4.1
2001,MD,October,FISHING BAY,GOOSE CREEK,38.275533,-76.014233,100,EE3.0,4.1
2008,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,100,EE1.1,4.1
2012,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,97,ET3.1,4.1
2002,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,97,EE3.3,4.1
2010,MD,October,TANGIER SOUND,PINEY ISLAND EASY,38.0686,-75.90555,97,EE3.2,4.1
2016,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,90,EE3.0,4.1
2017,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,93,EE3.0,4.1
1992,MD,October,TRED AVON RIVER,DOUBLE MILLS (S),38.729383,-76.138983,100,ET4.2,4.1
2000,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,100,EE2.1,4
2007,MD,October,CHESTER RIVER,OLD FIELD (S),39.0843,-76.164883,100,CB3.2,4
1991,MD,October,CHOPTANK RIVER,LIGHTHOUSE,38.658367,-76.188183,100,ET4.2,4
2016,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,93,ET5.2,4
1991,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,100,EE1.1,4
2000,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,100,EE1.1,4
2007,MD,October,EASTERN BAY,PARSONS ISLAND,38.895883,-76.2602,97,ET4.2,4
1996,MD,October,FISHING BAY,GOOSE CREEK,38.275533,-76.014233,97,EE3.0,4
2002,MD,October,FISHING BAY,GOOSE CREEK,38.275533,-76.014233,93,EE3.0,4
1991,MD,October,HOLLAND STRAITS,HOLLAND STRAITS,38.1186,-76.075933,100,EE3.1,4
2008,MD,October,LITTLE CHOPTANK RIVER,RAGGED POINT (LC),38.53645,-76.28903333,37,EE3.0,4
1990,MD,October,LOWER BAY,BUTLER,38.109467,-76.3241,100,LE2.2,4
1991,MD,October,LOWER BAY,BUTLER,38.109467,-76.3241,100,LE2.2,4
2002,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,100,ET5.2,4
1999,MD,October,MIDDLE BAY,STONE ROCK,38.64795,-76.3765,100,CB3.3W,4
2014,MD,October,MIDDLE BAY,STONE ROCK,38.64795,-76.3765,100,CB3.3W,4
2001,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,100,ET3.1,4
2000,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,93,LE1.1,4
2017,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,93,LE1.1,4
2012,MD,October,POTOMAC RIVER,RAGGED POINT (PR),38.09142,-76.60055,3,ET8.1,4
2007,MD,October,ST. MARY'S RIVER,CHICKEN COCK,38.102767,-76.4353,90,ET8.1,4
2002,MD,October,ST. MARY'S RIVER,PAGAN (S),38.1918,-76.443767,93,EE3.0,4
1992,MD,October,TANGIER SOUND,OLD WOMAN'S LEG,37.95625,-75.962667,100,EE3.2,4
2000,VA,October,GREAT WICOMICO RIVER,HAYNIE BAR,37.829717,-76.309167,100,CB5.4,3.96
2001,VA,October,RAPPAHANNOCK RIVER,BROAD CREEK,37.57695,-76.300833,100,LE3.7,3.916666667
1992,MD,October,CHOPTANK RIVER,OYSTER SHELL POINT,38.589233,-76.005517,100,ET5.2,3.9
2017,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,96,ET5.2,3.9
1999,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,100,EE1.1,3.9
2007,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,100,EE1.1,3.9
2010,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,100,EE2.2,3.9
1996,MD,October,LITTLE CHOPTANK RIVER,RAGGED POINT (LC),38.53645,-76.28903333,97,EE3.0,3.9
2000,MD,October,LOWER BAY,HOG ISLAND,38.313117,-76.3947,83,ET5.1,3.9
2012,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,100,ET5.2,3.9
2014,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,97,ET5.2,3.9
2015,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,93,ET5.2,3.9
2017,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,97,ET5.2,3.9
2017,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,100,EE3.3,3.9
1999,MD,October,POTOMAC RIVER,CORNFIELD HARBOR,38.0498,-76.333933,97,LE2.3,3.9
2010,MD,October,ST. MARY'S RIVER,PAGAN (S),38.1918,-76.443767,97,EE3.0,3.9
2013,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,93,EE3.1,3.9
1999,MD,October,TANGIER SOUND,OLD WOMAN'S LEG,37.95625,-75.962667,87,EE3.2,3.9
2003,MD,October,TANGIER SOUND,PINEY ISLAND EASY,38.0686,-75.90555,100,EE3.2,3.9
2004,MD,October,TANGIER SOUND,PINEY ISLAND EASY,38.0686,-75.90555,100,EE3.2,3.9
2017,MD,October,TRED AVON RIVER,DOUBLE MILLS (S),38.729383,-76.138983,97,ET4.2,3.9
1993,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,100,EE2.1,3.8
1993,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,100,ET5.2,3.8
2009,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,100,EE1.1,3.8
2005,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,90,EE2.2,3.8
1999,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,97,EE2.1,3.8
2010,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,97,EE2.1,3.8
2009,VA,October,GREAT WICOMICO RIVER,HAYNIE BAR,37.829717,-76.309167,89,CB5.4,3.8
1991,MD,October,LITTLE CHOPTANK RIVER,RAGGED POINT (LC),38.53645,-76.28903333,,EE3.0,3.8
2006,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,97,ET5.2,3.8
2007,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,83,ET5.2,3.8
2007,MD,October,MILES RIVER,LONG POINT (S),38.767233,-76.17735,93,EE1.1,3.8
1990,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,100,EE1.1,3.8
2006,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,97,EE1.1,3.8
2002,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,97,LE1.1,3.8
2016,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,90,LE1.1,3.8
1992,MD,October,POTOMAC RIVER,CORNFIELD HARBOR,38.0498,-76.333933,100,LE2.3,3.8
2002,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,97,EE3.1,3.8
1993,MD,October,TRED AVON RIVER,DOUBLE MILLS (S),38.729383,-76.138983,100,ET4.2,3.8
2001,MD,October,WYE RIVER,BRUFFS ISLAND,38.860283,-76.194117,100,EE1.1,3.8
2007,MD,October,WYE RIVER,BRUFFS ISLAND,38.860283,-76.194117,100,EE1.1,3.8
1992,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,100,EE2.1,3.7
2003,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,97,EE2.1,3.7
2003,MD,October,CHESTER RIVER,BUOY ROCK,38.994033,-76.213683,97,CB3.2,3.7
1992,MD,October,CHOPTANK RIVER,COOK POINT (S),38.65405,-76.2793,87,EE2.1,3.7
2013,MD,October,HOLLAND STRAITS,HOLLAND STRAITS,38.1186,-76.075933,90,EE3.1,3.7
2014,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,87,EE2.2,3.7
2010,MD,October,LITTLE CHOPTANK RIVER,RAGGED POINT (LC),38.53645,-76.28903333,83,EE3.0,3.7
2000,MD,October,MIDDLE BAY,HACKETT POINT,38.968733,-76.419317,97,CB4.1W,3.7
2006,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,93,ET3.1,3.7
2016,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,93,EE3.3,3.7
2009,MD,October,POTOMAC RIVER,CORNFIELD HARBOR,38.0498,-76.333933,87,LE2.3,3.7
2014,MD,October,POTOMAC RIVER,RAGGED POINT (PR),38.09142,-76.60055,3,ET8.1,3.7
2004,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,97,EE3.1,3.7
2002,MD,October,TANGIER SOUND,OLD WOMAN'S LEG,37.95625,-75.962667,100,EE3.2,3.7
2004,MD,October,TANGIER SOUND,OLD WOMAN'S LEG,37.95625,-75.962667,93,EE3.2,3.7
2005,MD,October,TANGIER SOUND,PINEY ISLAND EASY,38.0686,-75.90555,100,EE3.2,3.7
2001,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,90,EE3.0,3.7
1999,MD,October,WYE RIVER,BRUFFS ISLAND,38.860283,-76.194117,100,EE1.1,3.7
2002,VA,October,LYNNHAVEN RIVER (REEF),LYNNHAVEN RIVER (REEF),,,100,,3.64
2001,MD,October,CHOPTANK RIVER,OYSTER SHELL POINT,38.589233,-76.005517,100,ET5.2,3.6
2000,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,87,ET5.2,3.6
2002,MD,October,EASTERN BAY,HOLLICUT NOOSE,38.1186,-76.075933,100,EE3.1,3.6
1991,MD,October,EASTERN BAY,PARSONS ISLAND,38.895883,-76.2602,97,ET4.2,3.6
1992,MD,October,FISHING BAY,GOOSE CREEK,38.275533,-76.014233,100,EE3.0,3.6
2014,MD,October,HOLLAND STRAITS,HOLLAND STRAITS,38.1186,-76.075933,80,EE3.1,3.6
1993,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,96,EE2.2,3.6
2016,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,93,EE2.2,3.6
2000,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,100,EE2.1,3.6
2002,MD,October,MIDDLE BAY,HOLLAND POINT (S),38.739367,-76.511667,100,CB4.1W,3.6
2000,MD,October,MIDDLE BAY,STONE ROCK,38.64795,-76.3765,93,CB3.3W,3.6
1999,MD,October,MILES RIVER,LONG POINT (S),38.767233,-76.17735,100,EE1.1,3.6
2003,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,100,EE1.1,3.6
2002,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,100,ET3.1,3.6
2007,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,97,LE1.1,3.6
2015,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,90,EE3.3,3.6
2017,MD,October,POTOMAC RIVER,CORNFIELD HARBOR,38.0498,-76.333933,97,LE2.3,3.6
2001,MD,October,ST. MARY'S RIVER,CHICKEN COCK,38.102767,-76.4353,93,ET8.1,3.6
2010,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,93,EE3.1,3.6
2002,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,97,EE3.0,3.6
2009,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,90,EE3.0,3.6
2010,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,97,EE3.0,3.6
1990,MD,October,TRED AVON RIVER,DOUBLE MILLS (S),38.729383,-76.138983,97,ET4.2,3.6
2016,MD,October,TRED AVON RIVER,DOUBLE MILLS (S),38.729383,-76.138983,87,ET4.2,3.6
1990,MD,October,GREAT WICOMICO RIVER,LANCASTER,38.276033,-76.824283,97,RET3.1,3.6
2000,MD,October,GREAT WICOMICO RIVER,MILLS WEST,38.334683,-76.860333,97,RET3.1,3.6
2002,MD,October,WYE RIVER,BRUFFS ISLAND,38.860283,-76.194117,100,EE1.1,3.6
2001,VA,September,CREEK REEF,CREEK REEF,,,100,,3.576923077
2001,VA,September,TANGIER SOUND,CALIFORNIA ROCK,,,100,,3.56
2001,VA,October,RAPPAHANNOCK RIVER,MORATTICO,37.780533,-76.658183,100,LE3.1,3.56
2000,MD,October,CHESTER RIVER,BUOY ROCK,38.994033,-76.213683,97,CB3.2,3.5
2001,MD,October,CHESTER RIVER,BUOY ROCK,38.994033,-76.213683,93,CB3.2,3.5
2017,MD,October,CHOPTANK RIVER,COOK POINT (S),38.65405,-76.2793,90,EE2.1,3.5
1999,MD,October,CHOPTANK RIVER,ROYSTON,38.686017,-76.241333,97,EE2.1,3.5
2003,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,93,ET5.2,3.5
2000,MD,October,EASTERN BAY,PARSONS ISLAND,38.895883,-76.2602,100,ET4.2,3.5
2001,MD,October,HARRIS CREEK,TILGHMAN WHARF,38.704033,-76.315567,100,CB3.3W,3.5
1999,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,93,EE2.2,3.5
2014,MD,October,LITTLE CHOPTANK RIVER,RAGGED POINT (LC),38.53645,-76.28903333,83,EE3.0,3.5
1999,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,93,ET5.2,3.5
1993,MD,October,MIDDLE BAY,STONE ROCK,38.64795,-76.3765,100,CB3.3W,3.5
1998,MD,October,MIDDLE BAY,STONE ROCK,38.64795,-76.3765,100,CB3.3W,3.5
2007,MD,October,MIDDLE BAY,STONE ROCK,38.64795,-76.3765,93,CB3.3W,3.5
2016,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,83,EE1.1,3.5
1990,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,97,EE3.3,3.5
2014,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,80,EE3.3,3.5
2007,MD,October,POTOMAC RIVER,CORNFIELD HARBOR,38.0498,-76.333933,97,LE2.3,3.5
2005,MD,October,ST. MARY'S RIVER,CHICKEN COCK,38.102767,-76.4353,87,ET8.1,3.5
2009,MD,October,ST. MARY'S RIVER,CHICKEN COCK,38.102767,-76.4353,90,ET8.1,3.5
2013,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,93,EE3.0,3.5
2001,VA,October,PIANKATANK RIVER,GINNEY POINT,37.3533333,-76.4,100,WE4.1,3.48
2000,VA,October,MOBJACK BAY,TOW STAKE,37.338883,-76.386117,100,WE4.1,3.48
2001,VA,October,RAPPAHANNOCK RIVER,BOWLERS ROCK,37.827367,-76.736333,96,RET3.2,3.44
2000,VA,October,RAPPAHANNOCK RIVER,BROAD CREEK,37.57695,-76.300833,100,LE3.7,3.4
1999,MD,October,CHOPTANK RIVER,COOK POINT (S),38.65405,-76.2793,93,EE2.1,3.4
2000,MD,October,CHOPTANK RIVER,LIGHTHOUSE,38.658367,-76.188183,100,ET4.2,3.4
1995,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,89,ET5.2,3.4
1999,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,97,ET5.2,3.4
1990,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,100,EE1.1,3.4
2003,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,97,EE1.1,3.4
2010,VA,October,GREAT WICOMICO RIVER,CRANES CREEK,,,100,CB5.4,3.4
2015,MD,October,FISHING BAY,GOOSE CREEK,38.275533,-76.014233,100,EE3.0,3.4
1992,MD,October,HARRIS CREEK,TILGHMAN WHARF,38.704033,-76.315567,100,CB3.3W,3.4
2000,MD,October,HARRIS CREEK,TILGHMAN WHARF,38.704033,-76.315567,93,CB3.3W,3.4
1992,MD,October,HOLLAND STRAITS,HOLLAND STRAITS,38.1186,-76.075933,100,EE3.1,3.4
1991,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,100,EE2.2,3.4
2000,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,80,EE2.2,3.4
1990,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,100,EE2.1,3.4
2012,MD,October,LOWER BAY,BUTLER,38.109467,-76.3241,90,LE2.2,3.4
2001,MD,October,LOWER BAY,HOG ISLAND,38.313117,-76.3947,93,ET5.1,3.4
2005,MD,October,LOWER BAY,HOG ISLAND,38.313117,-76.3947,93,ET5.1,3.4
2013,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,83,ET5.2,3.4
2016,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,83,ET5.2,3.4
2001,MD,October,MIDDLE BAY,HACKETT POINT,38.968733,-76.419317,97,CB4.1W,3.4
2000,MD,October,MIDDLE BAY,HOLLAND POINT (S),38.739367,-76.511667,87,CB4.1W,3.4
2017,MD,October,MIDDLE BAY,STONE ROCK,38.64795,-76.3765,83,CB3.3W,3.4
2001,VA,September,NOMINI CREEK,NOMINI CREEK,,,100,,3.4
2014,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,90,ET3.1,3.4
1990,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,97,LE1.1,3.4
1999,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,90,EE3.3,3.4
1990,MD,October,POTOMAC RIVER,CORNFIELD HARBOR,38.0498,-76.333933,97,LE2.3,3.4
2005,VA,October,RAPPAHANNOCK RIVER,PARROT ROCK,37.605833,-76.588883,100,LE3.2,3.4
