"Year","State","Month","Region","Site","Lat","Long","Prevalence","MonitoringLocation","Mean.Intensity"
2019,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"64","CB5.4",1.68
2020,"VA","September","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"56","CB5.4",1.36
2021,"VA","September","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"80","CB5.4",1.76
2009,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"80","CB5.4",2.8
2010,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"88","CB5.4",2.8
2011,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"76","CB5.4",2.5
2012,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"96","CB5.4",2.5
1990,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"80","CB5.4",1.28
1991,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"80","CB5.4",0.8
1992,"VA","March","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"56","CB5.4",0.8
1992,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"87","CB5.4",1.6
1993,"VA","September","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"20","CB5.4",0.2
1996,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"88","CB5.4",1.28
1997,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"76","CB5.4",1
1998,"VA","November","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"88","CB5.4",0.88
1998,"VA","November","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"88","CB5.4",0.88
1999,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"100","CB5.4",1.72
2000,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"100","CB5.4",3.96
2001,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"84","CB5.4",1.96
2002,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"92","CB5.4",2.68
2003,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"80","CB5.4",1.36
2004,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"56","CB5.4",1.2
2005,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"88","CB5.4",2
2006,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"92","CB5.4",2.36
2007,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"92","CB5.4",2.12
2008,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"96","CB5.4",2.48
2013,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"68","CB5.4",1.4
2014,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"64","CB5.4",1.36
2015,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"56","CB5.4",0.88
2016,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"80","CB5.4",1.92
2017,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"76","CB5.4",1.64
2018,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"56","CB5.4",1.28
2019,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"44","CB5.4",0.84
2020,"VA","September","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"48","CB5.4",0.96
2021,"VA","September","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"72","CB5.4",1.52
2009,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"89","CB5.4",3.8
2010,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"91","CB5.4",2.4
2011,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"93","CB5.4",2.5
2012,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"84","CB5.4",2.4
1990,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"92","CB5.4",1.24
1991,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"84","CB5.4",1.08
1992,"VA","March","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"72","CB5.4",0.72
1992,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"87","CB5.4",0.68
1993,"VA","September","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"64","CB5.4",0.64
1996,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"76","CB5.4",0.84
1997,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"80","CB5.4",0.88
1998,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"72","CB5.4",0.8
1998,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"72","CB5.4",0.8
1999,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"100","CB5.4",1.32
2000,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"100","CB5.4",2.68
2001,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"92","CB5.4",2.44
2002,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"84","CB5.4",1.24
2003,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"84","CB5.4",1.56
2004,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"52","CB5.4",1.28
2005,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"43","CB5.4",0.857142857
2007,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"44","CB5.4",0.68
2008,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"76","CB5.4",1.48
2013,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"72","CB5.4",1.28
2014,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"84","CB5.4",1.8
2016,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"100","CB5.4",2.52
2017,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"76","CB5.4",1.56
2018,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"72","CB5.4",2
2019,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"56","CB5.4",1.2
2020,"VA","September","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"76","CB5.4",1.32
2021,"VA","September","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"72","CB5.4",1.6
1991,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"88","LE5.1",1.04
1992,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"40","LE5.1",0.48
1993,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"40","LE5.1",0.56
1994,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"56","LE5.1",0.56
1995,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"60","LE5.1",0.68
1996,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"0","LE5.1",0
1997,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"32","LE5.1",0.48
1998,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"8","LE5.1",0.08
1998,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"8","LE5.1",0.08
1999,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"72","LE5.1",1.28
2000,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"92","LE5.1",2.52
2001,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"92","LE5.1",1.64
2002,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"100","LE5.1",2.68
2004,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"0","LE5.1",0
2005,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"100","LE5.1",0.045454545
2006,"VA","November","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"32","LE5.1",0.56
2007,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"80","LE5.1",2.64
2008,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"100","LE5.1",2.84
2013,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"0","LE5.1",0
2014,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"12","LE5.1",0.12
2015,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"4","LE5.1",0.04
2016,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"0","LE5.1",0
2017,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"4","LE5.1",0.04
2021,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"4","LE5.1",0.04
2009,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"53","LE5.1",1.6
2010,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"81","LE5.1",1.6
2011,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"52","LE5.1",0.7
2012,"VA","October","JAMES RIVER","DEEP WATER SHOAL",37.148883,-76.63555,"40","LE5.1",1.3
1999,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"96","LE5.2",1.92
2000,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"100","LE5.2",2.545454545
2001,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"96","LE5.2",1.84
2002,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"88","LE5.2",2.08
2003,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"67","LE5.2",1
2004,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"80","LE5.2",1.52
2005,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"88","LE5.2",2.08
2006,"VA","November","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"88","LE5.2",2.8
2007,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"60","LE5.2",0.88
2008,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"92","LE5.2",2.04
2013,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"88","LE5.2",1.6
2014,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"44","LE5.2",0.68
2015,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"64","LE5.2",1.28
2016,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"84","LE5.2",1.64
2017,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"92","LE5.2",1.96
2018,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"64","LE5.2",0.96
2019,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"60","LE5.2",1.16
2020,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"20","LE5.2",0.2
2021,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"72","LE5.2",1.68
2009,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"88","LE5.2",2.5
2010,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"96","LE5.2",2.3
2011,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"80","LE5.2",2.2
2012,"VA","October","JAMES RIVER","DRY SHOAL",37.061383,-76.603883,"84","LE5.2",1.9
1996,"VA","October","JAMES RIVER","DRY SHOALS",37.061383,-76.603883,"100","LE3.4",2.12
1997,"VA","October","JAMES RIVER","DRY SHOALS",37.061383,-76.603883,"88","LE3.4",54
1991,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"100","LE5.2",2.2
1992,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"72","LE5.2",0.96
1993,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"96","LE5.2",1.04
1994,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"96","LE5.2",1.12
1995,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"100","LE5.2",1.4
1996,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"28","LE5.2",0.28
1997,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"92","LE5.2",1.64
1998,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"100","LE5.2",1
1998,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"100","LE5.2",1
1999,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"100","LE5.2",2.44
2000,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"96","LE5.2",3.04
2001,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"100","LE5.2",1.96
2002,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"100","LE5.2",2.52
2003,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"40","LE5.2",0.56
2004,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"4","LE5.2",0.04
2005,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"68","LE5.2",0.76
2006,"VA","November","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"100","LE5.2",1.64
2007,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"88","LE5.2",1.76
2008,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"84","LE5.2",1.88
2013,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"25","LE5.2",0.36
2014,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"16","LE5.2",0.32
2015,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"4","LE5.2",0.04
2016,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"8","LE5.2",0.08
2017,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"24","LE5.2",0.24
2018,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"0","LE5.2",0
2019,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"36","LE5.2",0.44
2020,"VA","September","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"12","LE5.2",0.84
2021,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"16","LE5.2",0.16
2009,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"72","LE5.2",1.3
2010,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"68","LE5.2",1.9
2011,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"56","LE5.2",1.6
2012,"VA","October","JAMES RIVER","HORSEHEAD ROCK",37.106883,-76.634267,"44","LE5.2",1.9
1996,"VA","October","JAMES RIVER","LONG ROCK",37.8135,-76.7084,"100","ET4.2",1.48
1999,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"100","LE5.2",1.88
2000,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"80","LE5.2",1.44
2001,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"96","LE5.2",2.32
2002,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"96","LE5.2",2.32
2003,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"48","LE5.2",0.56
2004,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"8","LE5.2",0.08
2005,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"71","LE5.2",1.625
2006,"VA","November","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"100","LE5.2",2.56
2007,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"68","LE5.2",1.16
2008,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"100","LE5.2",2.36
2013,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"44","LE5.2",0.84
2014,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"21","LE5.2",0.208333333
2015,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"16","LE5.2",0.16
2016,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"16","LE5.2",0.4
2017,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"72","LE5.2",1.36
2018,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"24","LE5.2",0.24
2019,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"48","LE5.2",0.96
2020,"VA","September","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"48","LE5.2",0.88
2021,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"77","LE5.2",1.117647059
2009,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"75","LE5.2",1.7
2010,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"96","LE5.2",2.3
2011,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"56","LE5.2",1.1
2012,"VA","October","JAMES RIVER","LONG SHOAL",37.07635,-76.617133,"80","LE5.2",1.9
2000,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"88","LE5.2",1.68
2001,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"88","LE5.2",1.52
2002,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"100","LE5.2",1.88
2003,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"8","LE5.2",0.083333333
2004,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"0","LE5.2",0
2005,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"36","LE5.2",0.36
2006,"VA","November","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"76","LE5.2",1
2007,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"100","LE5.2",2.52
2008,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"88","LE5.2",1.52
2013,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"29","LE5.2",0.458333333
2014,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"8","LE5.2",0.08
2015,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"28","LE5.2",0.44
2016,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"20","LE5.2",0.36
2017,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"16","LE5.2",0.24
2019,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"24","LE5.2",0.24
2021,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"28","LE5.2",0.36
2009,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"72","LE5.2",1.7
2010,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"88","LE5.2",1.8
2011,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"68","LE5.2",1.3
2012,"VA","October","JAMES RIVER","MULBERRY POINT",37.119167,-76.63195,"41","LE5.2",1.4
1991,"VA","September","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"92","LE5.2",1.88
1999,"VA","October","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"33","LE5.2",0.75
2000,"VA","October","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"8","LE5.2",0.08
2001,"VA","October","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"12","LE5.2",0.12
2002,"VA","October","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"12","LE5.2",0.2
2003,"VA","October","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"48","LE5.2",0.8
