"MonitoringLocation","SampleDate","Depth","Layer","Parameter","MeasureValue","Unit","Latitude","Longitude","Month","Year"
"LE5.5-W","2000-10-10",1,"S","PH",8.18,"SU",36.99903,-76.31328,10,2000
"LE5.5-W","2000-10-10",1,"S","SALINITY",17.45,"PPT",36.99903,-76.31328,10,2000
"LE5.5-W","2000-10-10",1,"S","WTEMP",17.39,"DEG C",36.99903,-76.31328,10,2000
"LE5.5-W","2000-11-16",1,"S","PH",8.15,"SU",36.99903,-76.31328,11,2000
"LE5.5-W","2000-11-16",1,"S","SALINITY",21.87,"PPT",36.99903,-76.31328,11,2000
"LE5.5-W","2000-11-16",1,"S","WTEMP",13.38,"DEG C",36.99903,-76.31328,11,2000
"LE5.5-W","2000-12-14",1,"S","PH",8.31,"SU",36.99903,-76.31328,12,2000
"LE5.5-W","2000-12-14",1,"S","SALINITY",22.22,"PPT",36.99903,-76.31328,12,2000
"LE5.5-W","2000-12-14",1,"S","WTEMP",6.84,"DEG C",36.99903,-76.31328,12,2000
"LE5.5-W","2001-01-08",1,"S","PH",8.43,"SU",36.99903,-76.31328,1,2001
"LE5.5-W","2001-01-08",1,"S","SALINITY",24.13,"PPT",36.99903,-76.31328,1,2001
"LE5.5-W","2001-01-08",1,"S","WTEMP",2.86,"DEG C",36.99903,-76.31328,1,2001
"LE5.5-W","2001-02-15",1,"S","PH",8.06,"SU",36.99903,-76.31328,2,2001
"LE5.5-W","2001-02-15",1,"S","SALINITY",21.53,"PPT",36.99903,-76.31328,2,2001
"LE5.5-W","2001-02-15",1,"S","WTEMP",7.12,"DEG C",36.99903,-76.31328,2,2001
"LE5.5-W","2001-03-20",1,"S","PH",6.73,"SU",36.99903,-76.31328,3,2001
"LE5.5-W","2001-03-20",1,"S","SALINITY",20.29,"PPT",36.99903,-76.31328,3,2001
"LE5.5-W","2001-03-20",1,"S","WTEMP",8.91,"DEG C",36.99903,-76.31328,3,2001
"LE5.5-W","2001-04-02",1,"S","PH",7.66,"SU",36.99903,-76.31328,4,2001
"LE5.5-W","2001-04-02",1,"S","SALINITY",16.75,"PPT",36.99903,-76.31328,4,2001
"LE5.5-W","2001-04-02",1,"S","WTEMP",10.75,"DEG C",36.99903,-76.31328,4,2001
"LE5.5-W","2001-05-10",1,"S","PH",7.67,"SU",36.99903,-76.31328,5,2001
"LE5.5-W","2001-05-10",1,"S","SALINITY",20.22,"PPT",36.99903,-76.31328,5,2001
"LE5.5-W","2001-05-10",1,"S","WTEMP",19.74,"DEG C",36.99903,-76.31328,5,2001
"LE5.5-W","2001-06-13",1,"S","PH",8.06,"SU",36.99903,-76.31328,6,2001
"LE5.5-W","2001-06-13",1,"S","SALINITY",18.53,"PPT",36.99903,-76.31328,6,2001
"LE5.5-W","2001-06-13",1,"S","WTEMP",25.13,"DEG C",36.99903,-76.31328,6,2001
"LE5.5-W","2001-07-11",1,"S","PH",7.83,"SU",36.99903,-76.31328,7,2001
"LE5.5-W","2001-07-11",1,"S","SALINITY",22.28,"PPT",36.99903,-76.31328,7,2001
"LE5.5-W","2001-07-11",1,"S","WTEMP",26.24,"DEG C",36.99903,-76.31328,7,2001
"LE5.5-W","2001-07-23",1,"S","PH",7.94,"SU",36.99903,-76.31328,7,2001
"LE5.5-W","2001-07-23",1,"S","SALINITY",22.91,"PPT",36.99903,-76.31328,7,2001
"LE5.5-W","2001-07-23",1,"S","WTEMP",25.36,"DEG C",36.99903,-76.31328,7,2001
"LE5.5-W","2001-08-13",1,"S","PH",7.83,"SU",36.99903,-76.31328,8,2001
"LE5.5-W","2001-08-13",1,"S","SALINITY",22.93,"PPT",36.99903,-76.31328,8,2001
"LE5.5-W","2001-08-13",1,"S","WTEMP",27.76,"DEG C",36.99903,-76.31328,8,2001
"LE5.5-W","2001-08-29",1,"S","PH",8.04,"SU",36.99903,-76.31328,8,2001
"LE5.5-W","2001-08-29",1,"S","SALINITY",23.09,"PPT",36.99903,-76.31328,8,2001
"LE5.5-W","2001-08-29",1,"S","WTEMP",25.88,"DEG C",36.99903,-76.31328,8,2001
"LE5.5-W","2001-09-10",1,"S","PH",8.42,"SU",36.99903,-76.31328,9,2001
"LE5.5-W","2001-09-10",1,"S","SALINITY",23.01,"PPT",36.99903,-76.31328,9,2001
"LE5.5-W","2001-09-10",1,"S","WTEMP",26.38,"DEG C",36.99903,-76.31328,9,2001
"LE5.5-W","2001-10-15",1,"S","PH",7.36,"SU",36.99903,-76.31328,10,2001
"LE5.5-W","2001-10-15",1,"S","SALINITY",24.87,"PPT",36.99903,-76.31328,10,2001
"LE5.5-W","2001-10-15",1,"S","WTEMP",19.26,"DEG C",36.99903,-76.31328,10,2001
"LE5.5-W","2001-11-13",1,"S","PH",7.95,"SU",36.99903,-76.31328,11,2001
"LE5.5-W","2001-11-13",1,"S","SALINITY",25.34,"PPT",36.99903,-76.31328,11,2001
"LE5.5-W","2001-11-13",1,"S","WTEMP",12.96,"DEG C",36.99903,-76.31328,11,2001
"LE5.5-W","2001-12-14",1,"S","PH",8.16,"SU",36.99903,-76.31328,12,2001
"LE5.5-W","2001-12-14",1,"S","SALINITY",25.19,"PPT",36.99903,-76.31328,12,2001
"LE5.5-W","2001-12-14",1,"S","WTEMP",13.47,"DEG C",36.99903,-76.31328,12,2001
"LE5.5-W","2002-01-16",1,"S","PH",7.46,"SU",36.99903,-76.31328,1,2002
"LE5.5-W","2002-01-16",1,"S","SALINITY",24.87,"PPT",36.99903,-76.31328,1,2002
"LE5.5-W","2002-01-16",1,"S","WTEMP",6.18,"DEG C",36.99903,-76.31328,1,2002
"LE5.5-W","2002-02-26",1,"S","PH",8.22,"SU",36.99903,-76.31328,2,2002
"LE5.5-W","2002-02-26",1,"S","SALINITY",25.26,"PPT",36.99903,-76.31328,2,2002
"LE5.5-W","2002-02-26",1,"S","WTEMP",8.59,"DEG C",36.99903,-76.31328,2,2002
"LE5.5-W","2002-03-21",1,"S","PH",7.5,"SU",36.99903,-76.31328,3,2002
"LE5.5-W","2002-03-21",1,"S","SALINITY",24.68,"PPT",36.99903,-76.31328,3,2002
"LE5.5-W","2002-03-21",1,"S","WTEMP",11.29,"DEG C",36.99903,-76.31328,3,2002
"LE5.5-W","2002-04-17",1,"S","PH",7.45,"SU",36.99903,-76.31328,4,2002
"LE5.5-W","2002-04-17",1,"S","SALINITY",22.94,"PPT",36.99903,-76.31328,4,2002
"LE5.5-W","2002-04-17",1,"S","WTEMP",16.95,"DEG C",36.99903,-76.31328,4,2002
"LE5.5-W","2002-05-20",1,"S","PH",8.06,"SU",36.99903,-76.31328,5,2002
"LE5.5-W","2002-05-20",1,"S","SALINITY",22.86,"PPT",36.99903,-76.31328,5,2002
"LE5.5-W","2002-05-20",1,"S","WTEMP",17.94,"DEG C",36.99903,-76.31328,5,2002
"LE5.5-W","2002-06-20",1,"S","PH",8.08,"SU",36.99903,-76.31328,6,2002
"LE5.5-W","2002-06-20",1,"S","SALINITY",22.64,"PPT",36.99903,-76.31328,6,2002
"LE5.5-W","2002-06-20",1,"S","WTEMP",25.37,"DEG C",36.99903,-76.31328,6,2002
"LE5.5-W","2002-07-18",1,"S","PH",7.85,"SU",36.99903,-76.31328,7,2002
"LE5.5-W","2002-07-18",1,"S","SALINITY",24.23,"PPT",36.99903,-76.31328,7,2002
"LE5.5-W","2002-07-18",1,"S","WTEMP",27.67,"DEG C",36.99903,-76.31328,7,2002
"LE5.5-W","2002-07-25",1,"S","PH",7.91,"SU",36.99903,-76.31328,7,2002
"LE5.5-W","2002-07-25",1,"S","SALINITY",24.01,"PPT",36.99903,-76.31328,7,2002
"LE5.5-W","2002-07-25",1,"S","WTEMP",27.37,"DEG C",36.99903,-76.31328,7,2002
"LE5.5-W","2002-08-15",1,"S","PH",8.02,"SU",36.99903,-76.31328,8,2002
"LE5.5-W","2002-08-15",1,"S","SALINITY",24.58,"PPT",36.99903,-76.31328,8,2002
"LE5.5-W","2002-08-15",1,"S","WTEMP",28.38,"DEG C",36.99903,-76.31328,8,2002
"LE5.5-W","2002-09-07",1,"S","PH",8.02,"SU",36.99903,-76.31328,9,2002
"LE5.5-W","2002-09-07",1,"S","SALINITY",24.26,"PPT",36.99903,-76.31328,9,2002
"LE5.5-W","2002-09-07",1,"S","WTEMP",25.45,"DEG C",36.99903,-76.31328,9,2002
"LE5.5-W","2002-09-18",1,"S","PH",7.9,"SU",36.99903,-76.31328,9,2002
"LE5.5-W","2002-09-18",1,"S","SALINITY",25.35,"PPT",36.99903,-76.31328,9,2002
"LE5.5-W","2002-09-18",1,"S","WTEMP",25.14,"DEG C",36.99903,-76.31328,9,2002
"LE5.5-W","2002-10-28",1,"S","PH",7.7,"SU",36.99903,-76.31328,10,2002
"LE5.5-W","2002-10-28",1,"S","SALINITY",24.34,"PPT",36.99903,-76.31328,10,2002
"LE5.5-W","2002-10-28",1,"S","WTEMP",17.25,"DEG C",36.99903,-76.31328,10,2002
"LE5.5-W","2002-11-22",1,"S","PH",8.05,"SU",36.99903,-76.31328,11,2002
"LE5.5-W","2002-11-22",1,"S","SALINITY",21.49,"PPT",36.99903,-76.31328,11,2002
"LE5.5-W","2002-11-22",1,"S","WTEMP",12.77,"DEG C",36.99903,-76.31328,11,2002
"LE5.5-W","2005-01-11",1,"S","PH",8.39,"SU",36.99903,-76.31328,1,2005
"LE5.5-W","2005-01-11",1,"S","SALINITY",18.04,"PPT",36.99903,-76.31328,1,2005
"LE5.5-W","2005-01-11",1,"S","WTEMP",7.85,"DEG C",36.99903,-76.31328,1,2005
"LE5.5-W","2005-02-17",1,"S","PH",8.17,"SU",36.99903,-76.31328,2,2005
"LE5.5-W","2005-02-17",1,"S","SALINITY",15.64,"PPT",36.99903,-76.31328,2,2005
"LE5.5-W","2005-02-17",1,"S","WTEMP",6.33,"DEG C",36.99903,-76.31328,2,2005
"LE5.5-W","2005-03-15",1,"S","PH",8.36,"SU",36.99903,-76.31328,3,2005
"LE5.5-W","2005-03-15",1,"S","SALINITY",17.89,"PPT",36.99903,-76.31328,3,2005
"LE5.5-W","2005-03-15",1,"S","WTEMP",7.37,"DEG C",36.99903,-76.31328,3,2005
"LE5.5-W","2005-04-11",1,"S","PH",8.51,"SU",36.99903,-76.31328,4,2005
"LE5.5-W","2005-04-11",1,"S","SALINITY",14.11,"PPT",36.99903,-76.31328,4,2005
"LE5.5-W","2005-04-11",1,"S","WTEMP",13.52,"DEG C",36.99903,-76.31328,4,2005
"LE5.5-W","2005-05-11",1,"S","PH",8.17,"SU",36.99903,-76.31328,5,2005
"LE5.5-W","2005-05-11",1,"S","SALINITY",17.06,"PPT",36.99903,-76.31328,5,2005
"LE5.5-W","2005-05-11",1,"S","WTEMP",16.22,"DEG C",36.99903,-76.31328,5,2005
"LE5.5-W","2005-06-15",1,"S","PH",8.18,"SU",36.99903,-76.31328,6,2005
"LE5.5-W","2005-06-15",1,"S","SALINITY",17.4,"PPT",36.99903,-76.31328,6,2005
"LE5.5-W","2005-06-15",1,"S","WTEMP",25.5,"DEG C",36.99903,-76.31328,6,2005
"LE5.5-W","2005-06-29",1,"S","PH",7.98,"SU",36.99903,-76.31328,6,2005
"LE5.5-W","2005-06-29",1,"S","SALINITY",18.43,"PPT",36.99903,-76.31328,6,2005
"LE5.5-W","2005-06-29",1,"S","WTEMP",25.06,"DEG C",36.99903,-76.31328,6,2005
"LE5.5-W","2005-07-15",1,"S","PH",7.98,"SU",36.99903,-76.31328,7,2005
"LE5.5-W","2005-07-15",1,"S","SALINITY",19.79,"PPT",36.99903,-76.31328,7,2005
"LE5.5-W","2005-07-15",1,"S","WTEMP",26.87,"DEG C",36.99903,-76.31328,7,2005
"LE5.5-W","2005-07-28",1,"S","PH",7.88,"SU",36.99903,-76.31328,7,2005
"LE5.5-W","2005-07-28",1,"S","SALINITY",21.06,"PPT",36.99903,-76.31328,7,2005
"LE5.5-W","2005-07-28",1,"S","WTEMP",28.54,"DEG C",36.99903,-76.31328,7,2005
"LE5.5-W","2005-08-10",1,"S","PH",8.13,"SU",36.99903,-76.31328,8,2005
"LE5.5-W","2005-08-10",1,"S","SALINITY",20.9,"PPT",36.99903,-76.31328,8,2005
"LE5.5-W","2005-08-10",1,"S","WTEMP",28.34,"DEG C",36.99903,-76.31328,8,2005
"LE5.5-W","2005-08-24",1,"S","PH",8.02,"SU",36.99903,-76.31328,8,2005
"LE5.5-W","2005-08-24",1,"S","SALINITY",21.55,"PPT",36.99903,-76.31328,8,2005
"LE5.5-W","2005-08-24",1,"S","WTEMP",27.42,"DEG C",36.99903,-76.31328,8,2005
"LE5.5-W","2005-09-21",1,"S","PH",8.08,"SU",36.99903,-76.31328,9,2005
"LE5.5-W","2005-09-21",1,"S","SALINITY",21.34,"PPT",36.99903,-76.31328,9,2005
"LE5.5-W","2005-09-21",1,"S","WTEMP",26.56,"DEG C",36.99903,-76.31328,9,2005
"LE5.5-W","2005-10-21",1,"S","PH",8.01,"SU",36.99903,-76.31328,10,2005
"LE5.5-W","2005-10-21",1,"S","SALINITY",21.71,"PPT",36.99903,-76.31328,10,2005
"LE5.5-W","2005-10-21",1,"S","WTEMP",19.26,"DEG C",36.99903,-76.31328,10,2005
"LE5.5-W","2005-11-30",1,"S","PH",8.06,"SU",36.99903,-76.31328,11,2005
"LE5.5-W","2005-11-30",1,"S","SALINITY",22.3,"PPT",36.99903,-76.31328,11,2005
"LE5.5-W","2005-11-30",1,"S","WTEMP",13.24,"DEG C",36.99903,-76.31328,11,2005
"LE5.5-W","2005-12-16",1,"S","PH",8.16,"SU",36.99903,-76.31328,12,2005
"LE5.5-W","2005-12-16",1,"S","SALINITY",19.65,"PPT",36.99903,-76.31328,12,2005
"LE5.5-W","2005-12-16",1,"S","WTEMP",7.15,"DEG C",36.99903,-76.31328,12,2005
"LE5.5-W","2006-01-12",1,"S","PH",8.47,"SU",36.99903,-76.31328,1,2006
"LE5.5-W","2006-01-12",1,"S","SALINITY",18.5,"PPT",36.99903,-76.31328,1,2006
"LE5.5-W","2006-01-12",1,"S","WTEMP",8.04,"DEG C",36.99903,-76.31328,1,2006
"LE5.5-W","2006-02-22",1,"S","PH",8.39,"SU",36.99903,-76.31328,2,2006
"LE5.5-W","2006-02-22",1,"S","SALINITY",17.94,"PPT",36.99903,-76.31328,2,2006
"LE5.5-W","2006-02-22",1,"S","WTEMP",6.38,"DEG C",36.99903,-76.31328,2,2006
"LE5.5-W","2006-03-09",1,"S","PH",7.73,"SU",36.99903,-76.31328,3,2006
"LE5.5-W","2006-03-09",1,"S","SALINITY",17.48,"PPT",36.99903,-76.31328,3,2006
"LE5.5-W","2006-03-09",1,"S","WTEMP",7.51,"DEG C",36.99903,-76.31328,3,2006
"LE5.5-W","2006-04-07",1,"S","PH",8.02,"SU",36.99903,-76.31328,4,2006
"LE5.5-W","2006-04-07",1,"S","SALINITY",20.27,"PPT",36.99903,-76.31328,4,2006
"LE5.5-W","2006-04-07",1,"S","WTEMP",13.14,"DEG C",36.99903,-76.31328,4,2006
"LE5.5-W","2006-05-25",1,"S","PH",8.06,"SU",36.99903,-76.31328,5,2006
"LE5.5-W","2006-05-25",1,"S","SALINITY",20.96,"PPT",36.99903,-76.31328,5,2006
"LE5.5-W","2006-05-25",1,"S","WTEMP",19.65,"DEG C",36.99903,-76.31328,5,2006
"LE5.5-W","2006-06-07",1,"S","PH",8.05,"SU",36.99903,-76.31328,6,2006
"LE5.5-W","2006-06-07",1,"S","SALINITY",22.41,"PPT",36.99903,-76.31328,6,2006
"LE5.5-W","2006-06-07",1,"S","WTEMP",22.16,"DEG C",36.99903,-76.31328,6,2006
"LE5.5-W","2006-06-19",1,"S","PH",8.07,"SU",36.99903,-76.31328,6,2006
"LE5.5-W","2006-06-19",1,"S","SALINITY",20.94,"PPT",36.99903,-76.31328,6,2006
"LE5.5-W","2006-06-19",1,"S","WTEMP",23.38,"DEG C",36.99903,-76.31328,6,2006
"LE5.5-W","2006-07-12",1,"S","PH",7.94,"SU",36.99903,-76.31328,7,2006
"LE5.5-W","2006-07-12",1,"S","SALINITY",20.78,"PPT",36.99903,-76.31328,7,2006
"LE5.5-W","2006-07-12",1,"S","WTEMP",24.85,"DEG C",36.99903,-76.31328,7,2006
"LE5.5-W","2006-07-26",1,"S","PH",8.01,"SU",36.99903,-76.31328,7,2006
"LE5.5-W","2006-07-26",1,"S","SALINITY",23.69,"PPT",36.99903,-76.31328,7,2006
"LE5.5-W","2006-07-26",1,"S","WTEMP",25.66,"DEG C",36.99903,-76.31328,7,2006
"LE5.5-W","2006-08-17",1,"S","PH",8,"SU",36.99903,-76.31328,8,2006
"LE5.5-W","2006-08-17",1,"S","SALINITY",22.25,"PPT",36.99903,-76.31328,8,2006
"LE5.5-W","2006-08-17",1,"S","WTEMP",26.23,"DEG C",36.99903,-76.31328,8,2006
"LE5.5-W","2006-08-30",1,"S","PH",7.9,"SU",36.99903,-76.31328,8,2006
"LE5.5-W","2006-08-30",1,"S","SALINITY",23.86,"PPT",36.99903,-76.31328,8,2006
"LE5.5-W","2006-08-30",1,"S","WTEMP",27.11,"DEG C",36.99903,-76.31328,8,2006
"LE5.5-W","2006-09-20",1,"S","PH",7.99,"SU",36.99903,-76.31328,9,2006
"LE5.5-W","2006-09-20",1,"S","SALINITY",19.99,"PPT",36.99903,-76.31328,9,2006
"LE5.5-W","2006-09-20",1,"S","WTEMP",23.77,"DEG C",36.99903,-76.31328,9,2006
"LE5.5-W","2006-11-17",1,"S","PH",8.15,"SU",36.99903,-76.31328,11,2006
"LE5.5-W","2006-11-17",1,"S","SALINITY",15.29,"PPT",36.99903,-76.31328,11,2006
"LE5.5-W","2006-11-17",1,"S","WTEMP",14.81,"DEG C",36.99903,-76.31328,11,2006
"LE5.5-W","2006-12-11",1,"S","PH",8.16,"SU",36.99903,-76.31328,12,2006
"LE5.5-W","2006-12-11",1,"S","SALINITY",15.71,"PPT",36.99903,-76.31328,12,2006
"LE5.5-W","2006-12-11",1,"S","WTEMP",8.71,"DEG C",36.99903,-76.31328,12,2006
"LE5.5-W","2007-01-09",1,"S","PH",8.65,"SU",36.99903,-76.31328,1,2007
"LE5.5-W","2007-01-09",1,"S","SALINITY",15.24,"PPT",36.99903,-76.31328,1,2007
"LE5.5-W","2007-01-09",1,"S","WTEMP",11.38,"DEG C",36.99903,-76.31328,1,2007
"LE5.5-W","2007-02-12",1,"S","PH",8.39,"SU",36.99903,-76.31328,2,2007
"LE5.5-W","2007-02-12",1,"S","SALINITY",17.25,"PPT",36.99903,-76.31328,2,2007
"LE5.5-W","2007-02-12",1,"S","WTEMP",4.13,"DEG C",36.99903,-76.31328,2,2007
"LE5.5-W","2007-03-14",1,"S","PH",8.7,"SU",36.99903,-76.31328,3,2007
"LE5.5-W","2007-03-14",1,"S","SALINITY",14.63,"PPT",36.99903,-76.31328,3,2007
"LE5.5-W","2007-03-14",1,"S","WTEMP",10.25,"DEG C",36.99903,-76.31328,3,2007
"LE5.5-W","2007-04-19",1,"S","PH",8.05,"SU",36.99903,-76.31328,4,2007
"LE5.5-W","2007-04-19",1,"S","SALINITY",16.48,"PPT",36.99903,-76.31328,4,2007
"LE5.5-W","2007-04-19",1,"S","WTEMP",11.58,"DEG C",36.99903,-76.31328,4,2007
"LE5.5-W","2007-05-12",1,"S","PH",8.14,"SU",36.99903,-76.31328,5,2007
"LE5.5-W","2007-05-12",1,"S","SALINITY",15.54,"PPT",36.99903,-76.31328,5,2007
"LE5.5-W","2007-05-12",1,"S","WTEMP",18.22,"DEG C",36.99903,-76.31328,5,2007
"LE5.5-W","2007-06-11",1,"S","PH",7.79,"SU",36.99903,-76.31328,6,2007
"LE5.5-W","2007-06-11",1,"S","SALINITY",20.67,"PPT",36.99903,-76.31328,6,2007
"LE5.5-W","2007-06-11",1,"S","WTEMP",23.62,"DEG C",36.99903,-76.31328,6,2007
"LE5.5-W","2007-06-20",1,"S","PH",7.84,"SU",36.99903,-76.31328,6,2007
"LE5.5-W","2007-06-20",1,"S","SALINITY",20.2,"PPT",36.99903,-76.31328,6,2007
