"term","statistic","df","p.value","fdr.p.value","Region"
"WTEMP",0.940207363024844,1,0.332224518900628,0.648996734596576,"GREAT WICOMICO RIVER"
"SALINITY",9.45136026617616,1,0.00210992564993159,0.0118155836396169,"GREAT WICOMICO RIVER"
"WTEMP:SALINITY",1.4536257887605,1,0.227947053946651,0.547072929471962,"GREAT WICOMICO RIVER"
"WTEMP",8.74227881742108e-06,1,0.997640870641031,0.997640870641031,"CORROTOMAN RIVER"
"SALINITY",8.76967896640199,1,0.00306279352012112,0.0151338032758926,"CORROTOMAN RIVER"
"WTEMP:SALINITY",0.0124175258158372,1,0.911272237346899,0.994115168014799,"CORROTOMAN RIVER"
"WTEMP",8.74227881742108e-06,1,0.997640870641031,0.997640870641031,"PIANKATANK RIVER"
"SALINITY",8.76967896640199,1,0.00306279352012112,0.0151338032758926,"PIANKATANK RIVER"
"WTEMP:SALINITY",0.0124175258158372,1,0.911272237346899,0.994115168014799,"PIANKATANK RIVER"
"WTEMP",0.0026530684634655,1,0.958920770557041,0.994436354651747,"YORK RIVER"
"SALINITY",3.23514590426723,1,0.0720738831932281,0.252258591176298,"YORK RIVER"
"WTEMP:SALINITY",0.0039350382452992,1,0.949981600901466,0.994436354651747,"YORK RIVER"
"WTEMP",0.262240355907903,1,0.608585161315891,0.881399199147152,"MOBJACK BAY"
"SALINITY",30.8132005563444,1,2.84098704922885e-08,4.00213675826967e-07,"MOBJACK BAY"
"WTEMP:SALINITY",2.84375609194738,1,0.0917295605098143,0.308211323312976,"MOBJACK BAY"
"WTEMP",16.7781007839284,1,4.2015397224217e-05,0.000320844851530385,"JAMES RIVER"
"SALINITY",127.551586261594,1,1.40695928222368e-29,5.90922898533947e-28,"JAMES RIVER"
"WTEMP:SALINITY",6.68975479927393,1,0.00969685413226213,0.040726787355501,"JAMES RIVER"
"WTEMP",0.399246619682788,1,0.527478590472901,0.836003803768371,"ST MARY'S RIVER"
"SALINITY",19.0056718842931,1,1.30330468622607e-05,0.000136846992053738,"ST MARY'S RIVER"
"WTEMP:SALINITY",2.37334256048301,1,0.12342253036463,0.381875462800993,"ST MARY'S RIVER"
