"Year","Month","MonitoringLocation","SampleDate","SALINITY","State","Sample.month","Region","Site","Lat","Long","Prevalence","Mean.Intensity","oysteryear","WTEMP"
1990,"Apr","LE3.7",1990-04-12,14.01,"VA","September","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"16",0.16,1990,11.9
1990,"Apr","LE3.7",1990-04-12,14.01,"VA","October","RAPPAHANNOCK RIVER","BROAD CREEK",37.57695,-76.300833,"92",1.24,1990,11.9
1990,"Apr","LE3.7",1990-04-12,14.01,"VA","September","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"100",2.44,1990,11.9
1990,"Apr","LE3.7",1990-04-12,14.01,"VA","October","RAPPAHANNOCK RIVER","BROAD CREEK",37.57695,-76.300833,"96",1.2,1990,11.9
1990,"Apr","RET3.1",1990-04-09,0,"VA","October","RAPPAHANNOCK RIVER","ROSS ROCK",37.901117,-76.789167,"0",0,1990,10.9
1990,"Apr","RET3.1",1990-04-09,0,"VA","May","RAPPAHANNOCK RIVER","ROSS ROCK",37.901117,-76.789167,"0",0,1990,10.9
1990,"Apr","RET3.2",1990-04-09,4.4,"VA","October","RAPPAHANNOCK RIVER","BOWLERS ROCK",37.827367,-76.736333,"84",1.24,1990,10.6
1990,"Apr","RET3.2",1990-04-09,4.4,"VA","May","RAPPAHANNOCK RIVER","BOWLERS ROCK",37.827367,-76.736333,"0",0,1990,10.6
1990,"Apr","WE4.1",1990-04-12,17.84,"VA","September","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"24",0.4,1990,12.4
1990,"Apr","WE4.1",1990-04-12,17.84,"VA","September","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"100",2.36,1990,12.4
1990,"Apr","WE4.1",1990-04-12,17.84,"VA","September","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"10",1.92,1990,12.4
1990,"Aug","CB3.2",1990-08-01,6.68,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,1990,25.1
1990,"Aug","CB5.4",1990-08-27,13.63,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"80",1.28,1990,26.8
1990,"Aug","CB5.4",1990-08-27,13.63,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"84",1.16,1990,26.8
1990,"Aug","CB5.4",1990-08-27,13.63,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"92",1.24,1990,26.8
1990,"Aug","EE2.2",1990-08-14,12.07,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,1990,26.8
1990,"Aug","EE3.0",1990-08-16,12.33,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,1990,27.4
1990,"Aug","EE3.1",1990-08-01,14.4,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,1990,26.7
1990,"Aug","EE3.1",1990-08-01,14.4,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,1990,26.7
1990,"Aug","EE3.1",1990-08-01,14.4,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,1990,26.7
1990,"Aug","ET4.2",1990-08-14,9.72,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,1990,26.3
1990,"Aug","ET4.2",1990-08-14,9.72,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-75.2602,"20",2.08333333333333,1990,26.3
1990,"Aug","ET5.2",1990-08-14,8.38,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,1990,26.8
1990,"Aug","LE3.1",1990-08-06,12.6,"VA","May","RAPPAHANNOCK RIVER","MORATTICO ",37.780533,-76.658183,"4",0.04,1990,26.6
1990,"Aug","LE3.1",1990-08-06,12.6,"VA","October","RAPPAHANNOCK RIVER","MORATTICO ",37.780533,-76.658183,"100",2.8,1990,26.6
1990,"Aug","LE3.1",1990-08-06,12.6,"VA","October","RAPPAHANNOCK RIVER","SMOKEY POINT",37.719167,-76.582217,"56",1.04,1990,26.6
1990,"Aug","LE3.2",1990-08-06,13.8,"VA","October","RAPPAHANNOCK RIVER","HOG HOUSE ROCK",37.63618,-76.54255,"4",0.04,1990,27.2
1990,"Aug","LE3.2",1990-08-06,13.8,"VA","October","RAPPAHANNOCK RIVER","PARROT ROCK",37.605833,-76.588883,"56",0.56,1990,27.2
1990,"Aug","LE3.2",1990-08-06,13.8,"VA","October","RAPPAHANNOCK RIVER","PARROT ROCK",37.605833,-76.588883,"100",1.64,1990,27.2
1990,"Aug","LE3.7",1990-08-13,15.32,"VA","October","RAPPAHANNOCK RIVER","BROAD CREEK",37.57695,-76.300833,"96",1.2,1990,28.2
1990,"Aug","LE3.7",1990-08-13,15.32,"VA","September","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"16",0.16,1990,28.2
1990,"Aug","LE3.7",1990-08-13,15.32,"VA","September","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"100",2.44,1990,28.2
1990,"Aug","LE3.7",1990-08-13,15.32,"VA","October","RAPPAHANNOCK RIVER","BROAD CREEK",37.57695,-76.300833,"92",1.24,1990,28.2
1990,"Aug","RET3.1",1990-08-06,5.5,"VA","May","RAPPAHANNOCK RIVER","ROSS ROCK",37.901117,-76.789167,"0",0,1990,26.4
1990,"Aug","RET3.1",1990-08-06,5.5,"VA","October","RAPPAHANNOCK RIVER","ROSS ROCK",37.901117,-76.789167,"0",0,1990,26.4
1990,"Aug","RET3.2",1990-08-06,10.3,"VA","May","RAPPAHANNOCK RIVER","BOWLERS ROCK",37.827367,-76.736333,"0",0,1990,26.6
1990,"Aug","RET3.2",1990-08-06,10.3,"VA","October","RAPPAHANNOCK RIVER","BOWLERS ROCK",37.827367,-76.736333,"84",1.24,1990,26.6
1990,"Aug","WE4.1",1990-08-14,19.43,"VA","September","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"24",0.4,1990,27.5
1990,"Aug","WE4.1",1990-08-14,19.43,"VA","September","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"100",2.36,1990,27.5
1990,"Aug","WE4.1",1990-08-14,19.43,"VA","September","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"10",1.92,1990,27.5
1990,"Dec","CB3.2",1990-12-12,4.06,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,1991,5.9
1990,"Dec","CB5.4",1990-12-10,14.96,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"84",1.16,1991,8.9
1990,"Dec","CB5.4",1990-12-10,14.96,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"92",1.24,1991,8.9
1990,"Dec","CB5.4",1990-12-10,14.96,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"80",1.28,1991,8.9
1990,"Dec","EE2.2",1990-12-11,12.13,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,1991,6.7
1990,"Dec","EE3.0",1990-12-13,13.93,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,1991,6.4
1990,"Dec","EE3.1",1990-12-13,14.13,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,1991,7
1990,"Dec","EE3.1",1990-12-13,14.13,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,1991,7
1990,"Dec","EE3.1",1990-12-13,14.13,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,1991,7
1990,"Dec","ET4.2",1990-12-11,6.06,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,1991,6.4
1990,"Dec","ET4.2",1990-12-11,6.06,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-75.2602,"20",2.08333333333333,1991,6.4
1990,"Dec","ET5.2",1990-12-11,10.43,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,1991,6.3
1990,"Dec","LE3.1",1990-12-11,13.5,"VA","October","RAPPAHANNOCK RIVER","SMOKEY POINT",37.719167,-76.582217,"56",1.04,1991,8.4
1990,"Dec","LE3.1",1990-12-11,13.5,"VA","May","RAPPAHANNOCK RIVER","MORATTICO ",37.780533,-76.658183,"4",0.04,1991,8.4
1990,"Dec","LE3.1",1990-12-11,13.5,"VA","October","RAPPAHANNOCK RIVER","MORATTICO ",37.780533,-76.658183,"100",2.8,1991,8.4
1990,"Dec","LE3.2",1990-12-11,14.7,"VA","October","RAPPAHANNOCK RIVER","PARROT ROCK",37.605833,-76.588883,"100",1.64,1991,8.6
1990,"Dec","LE3.2",1990-12-11,14.7,"VA","October","RAPPAHANNOCK RIVER","HOG HOUSE ROCK",37.63618,-76.54255,"4",0.04,1991,8.6
1990,"Dec","LE3.2",1990-12-11,14.7,"VA","October","RAPPAHANNOCK RIVER","PARROT ROCK",37.605833,-76.588883,"56",0.56,1991,8.6
1990,"Dec","LE3.7",1990-12-10,16.6,"VA","October","RAPPAHANNOCK RIVER","BROAD CREEK",37.57695,-76.300833,"92",1.24,1991,8.4
1990,"Dec","LE3.7",1990-12-10,16.6,"VA","October","RAPPAHANNOCK RIVER","BROAD CREEK",37.57695,-76.300833,"96",1.2,1991,8.4
1990,"Dec","LE3.7",1990-12-10,16.6,"VA","September","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"16",0.16,1991,8.4
1990,"Dec","LE3.7",1990-12-10,16.6,"VA","September","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"100",2.44,1991,8.4
1990,"Dec","RET3.1",1990-12-11,4.7,"VA","May","RAPPAHANNOCK RIVER","ROSS ROCK",37.901117,-76.789167,"0",0,1991,7.2
1990,"Dec","RET3.1",1990-12-11,4.7,"VA","October","RAPPAHANNOCK RIVER","ROSS ROCK",37.901117,-76.789167,"0",0,1991,7.2
1990,"Dec","RET3.2",1990-12-11,10.8,"VA","May","RAPPAHANNOCK RIVER","BOWLERS ROCK",37.827367,-76.736333,"0",0,1991,7.8
1990,"Dec","RET3.2",1990-12-11,10.8,"VA","October","RAPPAHANNOCK RIVER","BOWLERS ROCK",37.827367,-76.736333,"84",1.24,1991,7.8
1990,"Dec","WE4.1",1990-12-10,20.32,"VA","September","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"10",1.92,1991,8.3
1990,"Dec","WE4.1",1990-12-10,20.32,"VA","September","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"100",2.36,1991,8.3
1990,"Dec","WE4.1",1990-12-10,20.32,"VA","September","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"24",0.4,1991,8.3
1990,"Feb","CB3.2",1990-02-07,1.74,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,1990,4.6
1990,"Feb","CB5.4",1990-02-05,16.25,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"84",1.16,1990,4.7
1990,"Feb","CB5.4",1990-02-05,16.25,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"92",1.24,1990,4.7
1990,"Feb","CB5.4",1990-02-05,16.25,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"80",1.28,1990,4.7
1990,"Feb","EE2.2",1990-02-06,13.46,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,1990,4.6
1990,"Feb","EE3.0",1990-02-05,9.78,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,1990,6.4
1990,"Feb","EE3.1",1990-02-05,13.06,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,1990,6
1990,"Feb","EE3.1",1990-02-05,13.06,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,1990,6
1990,"Feb","EE3.1",1990-02-05,13.06,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,1990,6
1990,"Feb","ET4.2",1990-02-06,8.5,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,1990,5.4
1990,"Feb","ET4.2",1990-02-06,8.5,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-75.2602,"20",2.08333333333333,1990,5.4
1990,"Feb","ET5.2",1990-02-06,9.65,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,1990,5.8
1990,"Feb","LE3.1",1990-02-12,10.3,"VA","October","RAPPAHANNOCK RIVER","SMOKEY POINT",37.719167,-76.582217,"56",1.04,1990,8
1990,"Feb","LE3.1",1990-02-12,10.3,"VA","May","RAPPAHANNOCK RIVER","MORATTICO ",37.780533,-76.658183,"4",0.04,1990,8
1990,"Feb","LE3.1",1990-02-12,10.3,"VA","October","RAPPAHANNOCK RIVER","MORATTICO ",37.780533,-76.658183,"100",2.8,1990,8
1990,"Feb","LE3.2",1990-02-12,12.6,"VA","October","RAPPAHANNOCK RIVER","PARROT ROCK",37.605833,-76.588883,"100",1.64,1990,7.8
1990,"Feb","LE3.2",1990-02-12,12.6,"VA","October","RAPPAHANNOCK RIVER","HOG HOUSE ROCK",37.63618,-76.54255,"4",0.04,1990,7.8
1990,"Feb","LE3.2",1990-02-12,12.6,"VA","October","RAPPAHANNOCK RIVER","PARROT ROCK",37.605833,-76.588883,"56",0.56,1990,7.8
1990,"Feb","LE3.7",1990-02-05,15.42,"VA","September","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"16",0.16,1990,7.2
1990,"Feb","LE3.7",1990-02-05,15.42,"VA","September","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"100",2.44,1990,7.2
1990,"Feb","LE3.7",1990-02-05,15.42,"VA","October","RAPPAHANNOCK RIVER","BROAD CREEK",37.57695,-76.300833,"96",1.2,1990,7.2
1990,"Feb","LE3.7",1990-02-05,15.42,"VA","October","RAPPAHANNOCK RIVER","BROAD CREEK",37.57695,-76.300833,"92",1.24,1990,7.2
1990,"Feb","WE4.1",1990-02-06,18.93,"VA","September","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"100",2.36,1990,6.7
1990,"Feb","WE4.1",1990-02-06,18.93,"VA","September","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"24",0.4,1990,6.7
1990,"Feb","WE4.1",1990-02-06,18.93,"VA","September","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"10",1.92,1990,6.7
1990,"Jan","CB3.2",1990-01-10,9.72,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,1990,0.9
1990,"Jan","CB5.4",1990-01-09,14.65,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"80",1.28,1990,1.4
1990,"Jan","CB5.4",1990-01-09,14.65,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"92",1.24,1990,1.4
1990,"Jan","CB5.4",1990-01-09,14.65,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"84",1.16,1990,1.4
1990,"Jan","EE2.2",1990-01-09,13.13,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,1990,0.4
1990,"Jan","EE3.0",1990-01-08,12.2,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,1990,1.7
1990,"Jan","EE3.1",1990-01-08,13.66,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,1990,0.9
1990,"Jan","EE3.1",1990-01-08,13.66,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,1990,0.9
1990,"Jan","EE3.1",1990-01-08,13.66,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,1990,0.9
1990,"Jan","ET4.2",1990-01-09,9.85,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-75.2602,"20",2.08333333333333,1990,0.8
1990,"Jan","ET4.2",1990-01-09,9.85,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,1990,0.8
1990,"Jan","ET5.2",1990-01-10,9.53,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,1990,1.6
1990,"Jan","LE3.1",1990-01-16,10.4,"VA","October","RAPPAHANNOCK RIVER","MORATTICO ",37.780533,-76.658183,"100",2.8,1990,2.8
1990,"Jan","LE3.1",1990-01-16,10.4,"VA","May","RAPPAHANNOCK RIVER","MORATTICO ",37.780533,-76.658183,"4",0.04,1990,2.8
1990,"Jan","LE3.1",1990-01-16,10.4,"VA","October","RAPPAHANNOCK RIVER","SMOKEY POINT",37.719167,-76.582217,"56",1.04,1990,2.8
1990,"Jan","LE3.2",1990-01-16,13.1,"VA","October","RAPPAHANNOCK RIVER","PARROT ROCK",37.605833,-76.588883,"56",0.56,1990,2.9
1990,"Jan","LE3.2",1990-01-16,13.1,"VA","October","RAPPAHANNOCK RIVER","PARROT ROCK",37.605833,-76.588883,"100",1.64,1990,2.9
1990,"Jan","LE3.2",1990-01-16,13.1,"VA","October","RAPPAHANNOCK RIVER","HOG HOUSE ROCK",37.63618,-76.54255,"4",0.04,1990,2.9
1990,"Jan","LE3.7",1990-01-09,15.54,"VA","September","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"16",0.16,1990,2.9
1990,"Jan","LE3.7",1990-01-09,15.54,"VA","October","RAPPAHANNOCK RIVER","BROAD CREEK",37.57695,-76.300833,"96",1.2,1990,2.9
1990,"Jan","LE3.7",1990-01-09,15.54,"VA","September","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"100",2.44,1990,2.9
1990,"Jan","LE3.7",1990-01-09,15.54,"VA","October","RAPPAHANNOCK RIVER","BROAD CREEK",37.57695,-76.300833,"92",1.24,1990,2.9
1990,"Jan","RET3.1",1990-01-16,2.8,"VA","May","RAPPAHANNOCK RIVER","ROSS ROCK",37.901117,-76.789167,"0",0,1990,3.3
1990,"Jan","RET3.1",1990-01-16,2.8,"VA","October","RAPPAHANNOCK RIVER","ROSS ROCK",37.901117,-76.789167,"0",0,1990,3.3
1990,"Jan","RET3.2",1990-01-16,6.9,"VA","October","RAPPAHANNOCK RIVER","BOWLERS ROCK",37.827367,-76.736333,"84",1.24,1990,3.1
1990,"Jan","RET3.2",1990-01-16,6.9,"VA","May","RAPPAHANNOCK RIVER","BOWLERS ROCK",37.827367,-76.736333,"0",0,1990,3.1
1990,"Jan","WE4.1",1990-01-08,18.54,"VA","September","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"10",1.92,1990,2.2
1990,"Jan","WE4.1",1990-01-08,18.54,"VA","September","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"24",0.4,1990,2.2
1990,"Jan","WE4.1",1990-01-08,18.54,"VA","September","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"100",2.36,1990,2.2
1990,"Jul","CB3.2",1990-07-18,3.18,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,1990,24.9
1990,"Jul","CB5.4",1990-07-16,13.97,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"84",1.16,1990,28
1990,"Jul","CB5.4",1990-07-16,13.97,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"92",1.24,1990,28
1990,"Jul","CB5.4",1990-07-16,13.97,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"80",1.28,1990,28
1990,"Jul","EE2.2",1990-07-17,11.08,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,1990,27
1990,"Jul","EE3.0",1990-07-19,11.61,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,1990,28
1990,"Jul","EE3.1",1990-07-19,12.26,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,1990,27.5
1990,"Jul","EE3.1",1990-07-19,12.26,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,1990,27.5
1990,"Jul","EE3.1",1990-07-19,12.26,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,1990,27.5
1990,"Jul","ET4.2",1990-07-18,8.31,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,1990,26.3
1990,"Jul","ET4.2",1990-07-18,8.31,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-75.2602,"20",2.08333333333333,1990,26.3
1990,"Jul","ET5.2",1990-07-17,7.05,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,1990,26.8
1990,"Jul","LE3.1",1990-07-09,12,"VA","October","RAPPAHANNOCK RIVER","MORATTICO ",37.780533,-76.658183,"100",2.8,1990,26.4
1990,"Jul","LE3.1",1990-07-09,12,"VA","October","RAPPAHANNOCK RIVER","SMOKEY POINT",37.719167,-76.582217,"56",1.04,1990,26.4
1990,"Jul","LE3.1",1990-07-09,12,"VA","May","RAPPAHANNOCK RIVER","MORATTICO ",37.780533,-76.658183,"4",0.04,1990,26.4
1990,"Jul","LE3.2",1990-07-09,13.3,"VA","October","RAPPAHANNOCK RIVER","PARROT ROCK",37.605833,-76.588883,"100",1.64,1990,26.7
1990,"Jul","LE3.2",1990-07-09,13.3,"VA","October","RAPPAHANNOCK RIVER","PARROT ROCK",37.605833,-76.588883,"56",0.56,1990,26.7
1990,"Jul","LE3.2",1990-07-09,13.3,"VA","October","RAPPAHANNOCK RIVER","HOG HOUSE ROCK",37.63618,-76.54255,"4",0.04,1990,26.7
1990,"Jul","LE3.7",1990-07-16,15.79,"VA","October","RAPPAHANNOCK RIVER","BROAD CREEK",37.57695,-76.300833,"92",1.24,1990,27.4
1990,"Jul","LE3.7",1990-07-16,15.79,"VA","September","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"100",2.44,1990,27.4
1990,"Jul","LE3.7",1990-07-16,15.79,"VA","September","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"16",0.16,1990,27.4
1990,"Jul","LE3.7",1990-07-16,15.79,"VA","October","RAPPAHANNOCK RIVER","BROAD CREEK",37.57695,-76.300833,"96",1.2,1990,27.4
1990,"Jul","RET3.1",1990-07-09,4.7,"VA","May","RAPPAHANNOCK RIVER","ROSS ROCK",37.901117,-76.789167,"0",0,1990,27
1990,"Jul","RET3.1",1990-07-09,4.7,"VA","October","RAPPAHANNOCK RIVER","ROSS ROCK",37.901117,-76.789167,"0",0,1990,27
1990,"Jul","RET3.2",1990-07-09,9.3,"VA","May","RAPPAHANNOCK RIVER","BOWLERS ROCK",37.827367,-76.736333,"0",0,1990,26.8
1990,"Jul","RET3.2",1990-07-09,9.3,"VA","October","RAPPAHANNOCK RIVER","BOWLERS ROCK",37.827367,-76.736333,"84",1.24,1990,26.8
1990,"Jul","WE4.1",1990-07-16,19.64,"VA","September","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"10",1.92,1990,26.8
1990,"Jul","WE4.1",1990-07-16,19.64,"VA","September","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"24",0.4,1990,26.8
1990,"Jul","WE4.1",1990-07-16,19.64,"VA","September","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"100",2.36,1990,26.8
1990,"Jun","CB3.2",1990-06-13,3.71,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,1990,19.9
1990,"Jun","CB5.4",1990-06-12,13.54,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"80",1.28,1990,21.6
1990,"Jun","CB5.4",1990-06-12,13.54,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"84",1.16,1990,21.6
1990,"Jun","CB5.4",1990-06-12,13.54,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"92",1.24,1990,21.6
